PICid,Mass,Radius,Teff,BOLrandomSysNSRNCAM_T,Nu_max_Est
2714737000028,1.37110811497375,1.74872110267161,6357.68767547145,9.428999900817871,1319.8585521831178
2707222000040,1.30282387122732,1.41652155913188,6518.74574102075,10.569999694824219,1887.572731945208
2707075000076,1.27636993268538,1.71602590353567,5973.89057296016,12.09000015258789,1316.2750245141883
2705295000035,1.3886381634981,1.66259702508782,6549.29318336121,12.149999618530273,1457.0158235540196
2701607000008,1.17270141509221,1.73684583671011,5472.39138172535,12.100000381469727,1233.4533139556427
2699697000036,1.29556829636703,1.66293615077009,6128.98259073419,11.09000015258789,1404.628108096406
2695768000003,1.21541936598543,1.62506449780758,5807.69781616063,13.779999732971191,1417.5204311962173
2690298000184,1.20787989844473,1.34079561111669,6182.5059042886,11.0600004196167,2005.684925995435
2688171000057,1.33641252004042,1.48812084237835,6564.15401563466,13.25,1748.3208692142948
2686374000065,1.23395797950104,1.32486559754613,6337.01509798164,9.8149995803833,2072.815940215851
2686373000121,1.13843148074503,1.15290374216793,6160.25696305613,10.029999732971191,2561.343178768989
2676954000822,1.2205635282045,1.4232203875394,6114.53344278699,13.369999885559082,1808.7593934548372
2670835000020,1.29702194744187,1.41301538392633,6496.84021388337,13.720000267028809,1891.6850771135507
2670955000145,1.27791141048824,1.39671276854298,6431.90875092395,14.550000190734863,1917.1804419419957
2668824000057,1.28942948112385,1.38803736343801,6501.03934818158,11.140000343322754,1948.2750587647504
2667034000055,1.42943573248957,1.85934341444877,6474.44146231304,12.800000190734863,1206.1203529255847
2665034000060,1.39145842087371,1.95210882959344,6203.18745610002,10.329999923706055,1088.180940729711
2657250000153,1.08389810887171,1.21754008865897,5759.76630502443,9.611000061035156,2261.340046330245
2641253000030,1.07165394077216,1.22489090222787,5683.39073858609,10.260000228881836,2223.8340508651245
2641246000173,1.33470528374372,1.43795301591994,6634.63818209395,12.710000038146973,1860.0891171294354
2625032000100,1.37827452516343,1.76285807771673,6371.37651374739,11.220000267028809,1304.159712264617
2623119000435,1.27410544117338,1.39851365355978,6410.79697079312,13.899999618530273,1909.687579479482
